TotalNum,TotalPercent,Edu2,Edu3,Edu4,Edu5,Edu6,FIPS,Name
1578,0.24265723512225126,0.04752851711026616,0.12737642585551331,0.3193916349809886,0.2953105196451204,0.20975918884664133,1,Alabama
778,0.16994320664045434,0.011568123393316195,0.05012853470437018,0.2686375321336761,0.3264781491002571,0.34190231362467866,2,Alaska
845,0.19873000940733773,0.03550295857988166,0.06627218934911243,0.24970414201183433,0.3502958579881657,0.29704142011834317,4,Arizona
1183,0.22456340167046318,0.039729501267962805,0.09382924767540152,0.3609467455621302,0.2738799661876585,0.22823330515638207,5,Arkansas
1757,0.15254384441743357,0.06545247581104155,0.056915196357427436,0.2105862265224815,0.29994308480364257,0.3545816733067729,6,California
2485,0.18206462011869,0.015694164989939637,0.047082494969818915,0.24104627766599598,0.3158953722334004,0.37464788732394366,8,Colorado
1454,0.18858625162127107,0.029573590096286108,0.06740027510316368,0.2544704264099037,0.2840440165061898,0.3624484181568088,9,Connecticut
973,0.18689973107952362,0.015416238437821172,0.08119218910585817,0.2867420349434738,0.3278520041109969,0.28263103802672146,10,Delaware
934,0.1894139119853985,0.019271948608137045,0.05460385438972163,0.16274089935760172,0.12633832976445397,0.6306209850107066,11,District of Columbia
6612,0.19341250804422863,0.035995160314579555,0.0940713853599516,0.3162431941923775,0.3180580762250454,0.2306412583182093,12,Florida
1493,0.18346030965839272,0.03014065639651708,0.11922304085733422,0.30073677160080375,0.28198258539852644,0.2625586068318821,13,Georgia
1022,0.13005853906846526,0.010763209393346379,0.04598825831702544,0.29354207436399216,0.273972602739726,0.37377690802348335,15,Hawaii
1157,0.20550621669626998,0.025064822817631807,0.07519446845289542,0.2843560933448574,0.35868625756266204,0.2566983578219533,16,Idaho
921,0.1642296718972896,0.011943539630836048,0.06406080347448426,0.2931596091205212,0.30944625407166126,0.32030401737242126,17,Illinois
2062,0.19945830915070614,0.03200775945683802,0.08971871968962172,0.3661493695441319,0.27158098933074687,0.23811833171677982,18,Indiana
1518,0.1860978300845899,0.017127799736495388,0.06060606060606061,0.3333333333333333,0.308300395256917,0.27997364953886694,19,Iowa
4386,0.18838587750193284,0.02051983584131327,0.06064751481988144,0.2781577747378021,0.3445052439580483,0.29388964888280894,20,Kansas
2318,0.21047852537909742,0.06859361518550475,0.09620362381363244,0.3429680759275237,0.3011216566005177,0.18464193270060397,21,Kentucky
1011,0.19253475528470768,0.03461918892185954,0.10484668644906034,0.31750741839762614,0.27398615232443124,0.26706231454005935,22,Louisiana
1870,0.23094973446955663,0.01764705882352941,0.051871657754010696,0.34545454545454546,0.2893048128342246,0.29358288770053476,23,Maine
2237,0.17193144262547075,0.018328118015198926,0.07063030844881538,0.2628520339740724,0.25927581582476533,0.3822083147071971,24,Maryland
3313,0.219826156194015,0.0492001207364926,0.07847872019317839,0.24358587383036523,0.27346815575007544,0.34319348022939933,25,Massachusetts
2741,0.21482874833450896,0.008026267785479753,0.07041225829989055,0.3203210507114192,0.3075519883254287,0.29113462240058374,26,Michigan
2801,0.19532775453277545,0.01035344519814352,0.03748661192431275,0.23098893252409852,0.3330953230988932,0.3848625490896109,27,Minnesota
1447,0.1941500067087079,0.05597788527988943,0.1299239806496199,0.32688320663441606,0.27436074637180374,0.2066344160331721,28,Mississippi
1589,0.22323686428772127,0.025802391441157962,0.09691629955947137,0.3115166771554437,0.3228445563247325,0.23977344241661422,29,Missouri
1996,0.20592179923656248,0.016533066132264528,0.06813627254509018,0.31312625250501,0.3181362725450902,0.28256513026052105,30,Montana
3034,0.17702316354513098,0.021753460777851022,0.05273566249176005,0.32234673698088334,0.3259723137771918,0.27455504284772575,31,Nebraska
947,0.1856498725740051,0.021119324181626188,0.0675818373812038,0.27983104540654696,0.3812038014783527,0.2502639915522703,32,Nevada
1416,0.2190933003249265,0.015536723163841809,0.0480225988700565,0.2923728813559322,0.3015536723163842,0.3389830508474576,33,New Hampshire
2084,0.1556850440759002,0.03694817658349328,0.06957773512476008,0.27111324376199614,0.2624760076775432,0.3474088291746641,34,New Jersey
1923,0.20641906397595536,0.055122204888195525,0.09620384815392616,0.25533021320852833,0.31201248049922,0.27613104524180965,35,New Mexico
1498,0.16683372313175188,0.04806408544726302,0.09546061415220294,0.23965287049399198,0.2570093457943925,0.35046728971962615,36,New York
1765,0.1992099322799097,0.04759206798866856,0.11048158640226628,0.2753541076487252,0.32974504249291786,0.23512747875354106,37,North Carolina
1243,0.15923648475531643,0.02252614641995173,0.039420756234915526,0.2855993563958166,0.3676588897827836,0.2831858407079646,38,North Dakota
2591,0.21643972934591932,0.018525665766113468,0.09725974527209572,0.3546893091470475,0.28560401389424933,0.23736009262832883,39,Ohio
1917,0.23253275109170304,0.03547209181011998,0.1189358372456964,0.32290036515388626,0.3015127803860198,0.2190923317683881,40,Oklahoma
1561,0.2623970415195831,0.011531069827033953,0.04932735426008968,0.23254324151185138,0.3529788597053171,0.3484945547725817,41,Oregon
2146,0.1877679587015487,0.022833178005591797,0.09040074557315937,0.3704566635601118,0.24930102516309413,0.2637465051258155,42,Pennsylvania
1499,0.22952074720563467,0.0333555703802535,0.08338892595063375,0.28552368245497,0.27751834556370913,0.3162108072048032,44,Rhode Island
2038,0.19016515815993282,0.052011776251226695,0.11432777232580962,0.2968596663395486,0.27428851815505395,0.2590775269872424,45,South Carolina
1030,0.14938361131254532,0.020388349514563107,0.06019417475728155,0.28640776699029125,0.33689320388349514,0.29514563106796116,46,South Dakota
1233,0.21203783319002578,0.05677210056772101,0.1192214111922141,0.34144363341443634,0.27007299270072993,0.20113544201135442,47,Tennessee
1934,0.1771548960337089,0.08066184074457083,0.09152016546018614,0.2481902792140641,0.2838676318510858,0.2869700103412616,48,Texas
2810,0.22006421802803666,0.011387900355871887,0.05124555160142349,0.2701067615658363,0.37651245551601425,0.28825622775800713,49,Utah
1457,0.22794117647058823,0.016472203157172273,0.053534660260809885,0.3081674673987646,0.2621825669183253,0.3582704186684969,50,Vermont
1540,0.1819470699432892,0.03441558441558441,0.07987012987012987,0.2694805194805195,0.2720779220779221,0.33896103896103896,51,Virginia
2610,0.23382906289195485,0.017624521072796936,0.047126436781609195,0.21992337164750958,0.34904214559386976,0.3624521072796935,53,Washington
1384,0.23461603661637564,0.0476878612716763,0.12138728323699421,0.38078034682080925,0.26372832369942195,0.18280346820809248,54,West Virginia
1106,0.16785551677037486,0.0108499095840868,0.08227848101265822,0.310126582278481,0.3010849909584087,0.2884267631103074,55,Wisconsin
1180,0.18283235202974898,0.015254237288135594,0.03983050847457627,0.31440677966101693,0.34576271186440677,0.2830508474576271,56,Wyoming
172,0.09066947812335266,0.01744186046511628,0.11046511627906977,0.36627906976744184,0.23255813953488372,0.27325581395348836,66,Guam
1177,0.19580768590916653,0.14188615123194562,0.09345794392523364,0.26677994902293967,0.2548853016142736,0.23109600679694137,72,Puerto Rico
